번호,자재ID,자재명,대분류,중분류,단위,규격,가격,색상,재고,공급업체,지점,메모
,,미니트리,조화,트리류,,,3000,기타,23,마티아,,
,,열매봉 10cm,조화,소재(그린),,,9000,,1,,,
,,화기 블랙원통,바구니 / 화기,도자기,,,6500,,2,신신도자기-양재,,
,,높은원형바구니 3사이즈 1116,바구니 / 화기,바구니,,,7150,기타,4,현대데코,,
,,바구니 배불데기,바구니 / 화기,바구니,,,3850,기타,10,헌인자재,,
,,바구니 왕골 비너스 소,바구니 / 화기,바구니,,,3800,기타,4,헌인자재,,
,,바구니 왕골 비너스 중,바구니 / 화기,바구니,,,4500,,10,,,
,,햇바스켓 라벤더 - 대,바구니 / 화기,바구니,,,6050,퍼플,2,현대데코,,
,,햇바스켓 베이직 - 중,바구니 / 화기,바구니,,,4950,,2,,,
,,햇바스켓 연블루 - 대,바구니 / 화기,바구니,,,6050,블루,3,현대데코,,
,,헷바스켓 라벤더 - 중,바구니 / 화기,바구니,,,4950,퍼플,3,,,
,,003LW,바구니 / 화기,도자기,,,20000,,8,,,
,,리엔소그림화기3사이즈,바구니 / 화기,도자기,,,23100,기타,2,현대데코,,
,,핑크화분,바구니 / 화기,도자기,,,5500,핑크,40,,,
,,핸드페인팅 화기  1181(동양소),바구니 / 화기,도자기,,,12100,,2,,,
,,핸드페인팅 화기  1191 민트,바구니 / 화기,도자기,,,18700,기타,2,현대데코,,
,,핸드페인팅 화기 003SW,바구니 / 화기,도자기,,,16000,,8,기타,,
,,핸드페인팅 화기 1191 옐로우,바구니 / 화기,도자기,,,18700,옐로우,1,,,
,,핸드페인팅화기1176(천사타원형),바구니 / 화기,도자기,,,18700,기타,1,현대데코,,
,,핸드프린팅 화기 1174,바구니 / 화기,도자기,,,26400,기타,2,현대데코,,
,,화기 핸드프린팅  1174-2,바구니 / 화기,도자기,,,26400,,2,현대데코,,
,,화기 핸드페인팅1176 20*12*14.5,바구니 / 화기,도자기,,,18700,,2,현대데코,,
,,화기 핸드프린팅  2080 16*15,바구니 / 화기,도자기,,,19800,,2,현대데코,,
,,화기 핸드페인팅 화기 ,바구니 / 화기,도자기,,,18700,기타,2,현대데코,,
,,화기 핸드페인팅  1185 15.5*16*11,바구니 / 화기,도자기,,,,,,현대데코,,
,,화기 핸드페인팅  1955-1 꽃과새 연두 14*15*10,바구니 / 화기,도자기,,,,,,현대데코,,
,,화기 핸드페인팅  1955-2 꽃과나비 노랑 14*15*10,바구니 / 화기,도자기,,,,,,현대데코,,
,,화기 핸드페인팅 2082 꽃과새 원형 14*14*9.5,바구니 / 화기,도자기,,,,,,현대데코,,
,,화기 핸드프린팅 2204 꽃과새 육각 22*18.5*11,바구니 / 화기,도자기,,,,,,현대데코,,
,,화기 핸드프린팅 8오벌폿  20*12*14,바구니 / 화기,도자기,,,,,,현대데코,,
,,화기 핸드프린팅 5플랜터  13.5*12*9.5,바구니 / 화기,도자기,,,,,,현대데코,,
,,화기 핸드프린팅 6플랜터  15.5*8*11.3,바구니 / 화기,도자기,,,,,,현대데코,,
,,화기 말레20 화기 3색 11*20*9.5,바구니 / 화기,도자기,,,,,,현대데코,,
,,화분 중 스트라이프 라운드 유선,바구니 / 화기,도자기,,,,,,중앙화분,,
,,화분 521,바구니 / 화기,도자기,,,4000,기타,20,하모화분,,
,,화분 524,바구니 / 화기,도자기,,,2500,,30,,,
,,화분 골드라인 블랙 대,바구니 / 화기,도자기,,,5250,옐로우,10,,,
,,화분 골드라인 블랙 중,바구니 / 화기,도자기,,,3150,옐로우,12,제이앤데코,,
,,화분 골드라인 화이트 중,바구니 / 화기,도자기,,,3000,흰색,60,제이앤데코,,
,,화분 골드라인화분 화이트 대,바구니 / 화기,도자기,,,5000,흰색,34,,,
,,화분 소 스트라이프,바구니 / 화기,도자기,,,4000,,20,하모화분,,
,,화분 231009L 이레 25*14,바구니 / 화기,도자기,,,,회색,,이레데코,,
,,화분 231009M 이레 20.5*11,바구니 / 화기,도자기,,,,회색,,이레데코,,
,,화분 호박분 소 이레,바구니 / 화기,도자기,,,,회색,,이레데코,,
,,화분 호박분 중 이레,바구니 / 화기,도자기,,,,회색,,이레데코,,
,,화분 호박분 대 이레,바구니 / 화기,도자기,,,,회색,,이레데코,,
,,화분 보트 중 이레,바구니 / 화기,도자기,,,,화이트,,이레데코,,
,,화분 비정형 둥근사각 소 이레 21*16*9,바구니 / 화기,도자기,,,,,,이레데코,,
,,화분 비정형 둥근사각 소 이레 26*20*16,바구니 / 화기,도자기,,,,,,이레데코,,
,,화분 비정형 다각 화이트 소 이레,바구니 / 화기,도자기,,,,화이트,,이레데코,,
,,화분 비정형 다각 블랙 소 이레,바구니 / 화기,도자기,,,,블랙,,이레데코,,
,,화분 비정형 라운드 낮은화기 화이트 중 이레,바구니 / 화기,도자기,,,,화이트,,이레데코,,
,,화분 비정형 라운드 낮은화기 화이트 대 이레,바구니 / 화기,도자기,,,,화이트,,이레데코,,
,,화분 안스리움 핑크 하모 15*12,바구니 / 화기,도자기,,,,핑크,,하모화분,,
,,화분 화이트 골드라인 소 중앙,바구니 / 화기,도자기,,,,화이트,,중앙화분,,
,,화분 화이트 골드라인 중 중앙,바구니 / 화기,도자기,,,,화이트,,중앙화분,,
,,화분 화이트 골드라인 대 중앙,바구니 / 화기,도자기,,,,화이트,,중앙화분,,
